회사명,공고,제목,링크,기술 스택,주요업무,자격요건
회사명 없음,풀스택 개발자,풀스택 웹 개발자/이커머스 자동화 대시보드 개발,https://jumpit.saramin.co.kr/position/48830,"React, · Node.js, · AWS, · Amazon EC2, · Python","카플은 자동차를 의미하는 'Car' 와 사람을 의미하는 'People' 의 합성어로,
사람과 차를 이어준다는 의미를 담고 있으며, IT 솔루션 및 커넥티드카 제품을 개발 및 온라인 유통 기업입니다.
카플과 함께 할 Naver 스마트스토어, 쿠팡, 등 오픈마켓을 연동해 CRM 자동화 및 상품 피드 관리 가능한 웹 기반 툴을 개발.
초기 MVP 버전부터 함께 설계하고 개발할 풀 스택 개발자를 찾고 있습니다.

주요업무
• 서비스 전반 Front/Back End 개발
• 실시간 데이터 수집 자동화 및 데이터 처리르 위한 API, Backend Architecture 설계 및 개발
• 대시보드 UI 구성
• 데이터베이스 및 사용자 인증 설계
• 공통 기술 스택 : AWS EC2/RDS, React, Node.js, Python","자격요건
• 3년 이상의 유관 경력이 있는 분
• React/NodeJS/Python 경험해 보신 분
• AWS 에서 서버 구축 경험이 있으신 분
• REST API 및 OAuth 인증, 외부 API 연동 경험
• PostgreSQL 또는 MongoDB 등 데이터베이스 경험"
9~11년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49069,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 9년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
6~8년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49068,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 6년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
3~5년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49067,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 3년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
회사명 없음,풀스택 개발자,풀스택 웹 개발자/이커머스 자동화 대시보드 개발,https://jumpit.saramin.co.kr/position/48830,"React, · Node.js, · AWS, · Amazon EC2, · Python","카플은 자동차를 의미하는 'Car' 와 사람을 의미하는 'People' 의 합성어로,
사람과 차를 이어준다는 의미를 담고 있으며, IT 솔루션 및 커넥티드카 제품을 개발 및 온라인 유통 기업입니다.
카플과 함께 할 Naver 스마트스토어, 쿠팡, 등 오픈마켓을 연동해 CRM 자동화 및 상품 피드 관리 가능한 웹 기반 툴을 개발.
초기 MVP 버전부터 함께 설계하고 개발할 풀 스택 개발자를 찾고 있습니다.

주요업무
• 서비스 전반 Front/Back End 개발
• 실시간 데이터 수집 자동화 및 데이터 처리르 위한 API, Backend Architecture 설계 및 개발
• 대시보드 UI 구성
• 데이터베이스 및 사용자 인증 설계
• 공통 기술 스택 : AWS EC2/RDS, React, Node.js, Python","자격요건
• 3년 이상의 유관 경력이 있는 분
• React/NodeJS/Python 경험해 보신 분
• AWS 에서 서버 구축 경험이 있으신 분
• REST API 및 OAuth 인증, 외부 API 연동 경험
• PostgreSQL 또는 MongoDB 등 데이터베이스 경험"
9~11년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49069,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 9년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
6~8년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49068,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 6년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
3~5년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49067,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 3년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
회사명 없음,풀스택 개발자,풀스택 웹 개발자/이커머스 자동화 대시보드 개발,https://jumpit.saramin.co.kr/position/48830,"React, · Node.js, · AWS, · Amazon EC2, · Python","카플은 자동차를 의미하는 'Car' 와 사람을 의미하는 'People' 의 합성어로,
사람과 차를 이어준다는 의미를 담고 있으며, IT 솔루션 및 커넥티드카 제품을 개발 및 온라인 유통 기업입니다.
카플과 함께 할 Naver 스마트스토어, 쿠팡, 등 오픈마켓을 연동해 CRM 자동화 및 상품 피드 관리 가능한 웹 기반 툴을 개발.
초기 MVP 버전부터 함께 설계하고 개발할 풀 스택 개발자를 찾고 있습니다.

주요업무
• 서비스 전반 Front/Back End 개발
• 실시간 데이터 수집 자동화 및 데이터 처리르 위한 API, Backend Architecture 설계 및 개발
• 대시보드 UI 구성
• 데이터베이스 및 사용자 인증 설계
• 공통 기술 스택 : AWS EC2/RDS, React, Node.js, Python","자격요건
• 3년 이상의 유관 경력이 있는 분
• React/NodeJS/Python 경험해 보신 분
• AWS 에서 서버 구축 경험이 있으신 분
• REST API 및 OAuth 인증, 외부 API 연동 경험
• PostgreSQL 또는 MongoDB 등 데이터베이스 경험"
9~11년,풀스택 개발자,Full stack(풀스택) 개발자 모집,https://jumpit.saramin.co.kr/position/49069,"JavaScript, · Python, · TypeScript, · Amazon RDS, · AWS Lambda, , , , , ","• 사용자가 직접 상호작용하는 프론트엔드부터 서버에서 실행되는 백엔드, 그리고 데이터를 저장하고 관리하는 데이터베이스에 이르기까지 웹 개발의 전체 '스택'을 이해하고 개발","• 관련 경력 9년이상
• 컴퓨터 혹은 소프트웨어 엔지니어 학사 학위 또는 관련 업무 경험.
• 최소한 하나의 객체 지향 기반 언어에 대한 지식/경험: C#, C++, Java
• AWS 클라우드 플랫폼 경험
• 반응형 웹 서비스 개발 및 최적화
• RESTful API 설계 및 구현
• 최신 기술 및 개발자 도구에 대한 지식(해당 분야)
• git 및 Github의 기본(필수)
• Python 도구(로봇 또는 웹)
• 데이터베이스/풀 스택 프로젝트에 대한 기본 지식 및 경험.
• 새로운 소프트웨어 및 기술을 빠르게 배울 수 있는 능력
• Java 및 Spring Boot를 사용하여 웹 서비스를 개발한 입증된 경험
• HTTP 프로토콜과 REST API 설계 원칙에 대한 강력한 이해
• 네트워킹 개념과 그 실용적인 응용 프로그램에 대한 확실한 이해"
